ds,y
2015-06-23,32
2015-06-24,42
2015-06-25,40
2015-06-26,30
2015-06-27,13
2015-06-28,12
2015-06-29,36
2015-06-30,44
2015-07-01,38
2015-07-02,42
2015-07-03,24
2015-07-04,14
2015-07-05,8
2015-07-06,54
2015-07-07,64
2015-07-08,76
2015-07-09,64
2015-07-10,48
2015-07-11,32
2015-07-12,21
2015-07-13,45
2015-07-14,45
2015-07-15,52
2015-07-16,43
2015-07-17,37
2015-07-18,23
2015-07-19,26
2015-07-20,51
2015-07-21,45
2015-07-22,58
2015-07-23,41
2015-07-24,57
2015-07-25,19
2015-07-26,24
2015-07-27,39
2015-07-28,40
2015-07-29,59
2015-07-30,46
2015-07-31,27
2015-08-01,21
2015-08-02,18
2015-08-03,47
2015-08-04,43
2015-08-05,56
2015-08-06,51
2015-08-07,31
2015-08-08,24
2015-08-09,25
2015-08-10,36
2015-08-11,66
2015-08-12,47
2015-08-13,48
2015-08-14,31
2015-08-15,19
2015-08-16,19
2015-08-17,34
2015-08-18,46
2015-08-19,47
2015-08-20,32
2015-08-21,30
2015-08-22,12
2015-08-23,23
2015-08-24,31
2015-08-25,47
2015-08-26,45
2015-08-27,70
2015-08-28,40
2015-08-29,13
2015-08-30,13
2015-08-31,49
2015-09-01,42
2015-09-02,54
2015-09-03,35
2015-09-04,30
2015-09-05,18
2015-09-06,15
2015-09-07,31
2015-09-08,36
2015-09-09,35
2015-09-10,50
2015-09-11,38
2015-09-12,25
2015-09-13,18
2015-09-14,53
2015-09-15,46
2015-09-16,45
2015-09-17,37
2015-09-18,46
2015-09-19,11
2015-09-20,15
2015-09-21,22
2015-09-22,45
2015-09-23,47
2015-09-24,37
2015-09-25,46
2015-09-26,10
2015-09-27,18
2015-09-28,37
2015-09-29,36
2015-09-30,40
2015-10-01,32
2015-10-02,24
2015-10-03,18
2015-10-04,11
2015-10-05,34
2015-10-06,44
2015-10-07,42
2015-10-08,37
2015-10-09,33
2015-10-10,17
2015-10-11,10
2015-10-12,25
2015-10-13,40
2015-10-14,54
2015-10-15,44
2015-10-16,59
2015-10-17,8
2015-10-18,17
2015-10-19,41
2015-10-20,28
2015-10-21,49
